tool|type|value|source
Analyse-it|keyword|Paid|TERESAH
Analyse-it|operating-system|Windows|TERESAH
Anastasia|description|"A software application that enables a user to search, manipulate and publish large SGML/XML documents. Anastasia was developed within an academic context to enable the manipulation of a single, large mark-up documents or a set of documents. It utilises two methods to interpret the structure of a mark-up document: First, it uses pattern-matching algorithms to process a hierarchical tree, similar to other XML software applications; Second, it interprets the document structure as a series of sequential 'events' which must be processed. The latter method, it is indicated, enables the application to perform processing activities that are difficult or impossible using the tradition approach. For example, it is able to build a view of textual content across element divisions and in different types of hiearchical structure.
Features:
Pattern-matching algorithms to process a hierarchical tree
Event-driven analysis to manipulate information stored across element boundaries and contained in semi-structured or unstructured text mark-up"|BambooDirt
Anastasia|description|"A software application that enables a user to search, manipulate and publish large SGML/XML documents. Anastasia was developed within an academic context to enable the manipulation of a single, large mark-up documents or a set of documents. It utilises two methods to interpret the structure of a mark-up document: First, it uses pattern-matching algorithms to process a hierarchical tree, similar to other XML software applications; Second, it interprets the document structure as a series of sequential 'events' which must be processed. The latter method, it is indicated, enables the application to perform processing activities that are difficult or impossible using the tradition approach. For example, it is able to build a view of textual content across element divisions and in different types of hiearchical structure."|ArtsHumanities
Anastasia|keyword|Advanced|TERESAH
Anastasia|keyword|analysis|TERESAH
Anastasia|keyword|creation|TERESAH
Anastasia|keyword|Data modelling|TERESAH
Anastasia|keyword|element|TERESAH
Anastasia|license|GNU GPL|TERESAH
Anastasia|url|http://sourceforge.net/projects/anastasia/|TERESAH
Anastasia|operating-system|Linux|TERESAH
Anastasia|keyword|markup|TERESAH
Anastasia|keyword|No active development|TERESAH
Anastasia|keyword|Offline|TERESAH
Anastasia|operating-system|osX|TERESAH
Anastasia|keyword|Parsing|TERESAH
Anastasia|creator|Scholarly Digital Editions|TERESAH
Anastasia|application-category|Editing|TERESAH
Anastasia|application-category|Annotating|TERESAH
Anastasia|standard|sgml|TERESAH
Anastasia|keyword|Single purpose|TERESAH
Anastasia|keyword|Standard Generalized Markup Language (SGML)|TERESAH
Anastasia|description|"The program is designed to process large, scholarly XML files and publish them in any desired format. This involves some parsing and analysing of the structure of the XML documents; Anastasia is not bound to the hierarchical family-tree model of XML and so can begin processing at any required point. Tools are included for publishing to the web. A good knowledge of the Tcl scripting language is assumed, as well as some prior knowledge of XML."|HistoryOnline
Anastasia|application-category|Web development|TERESAH
Anastasia|operating-system|Windows|TERESAH
Anastasia|standard|XML|TERESAH
Anastasia|standard|XSLT|TERESAH
Annie|keyword|Active development|TERESAH
Annie|description|Annie is open-source information extraction software. It offers standard Natural Language Processing tasks, such as tokenisation, sentence splitting and named entity recognition - the latter being its main purpose. It can be used via an API or downloaded. It uses the GATE (General Architecture for Text Engineering) software. Its online trial feature (where users can enter a url and have the software perform named entitiy on that webpage) is particularly suitable for introducing named entity recognition as a concept.|HistoryOnline
Annie|keyword|Beginner|TERESAH
Annie|keyword|Both|TERESAH
Annie|keyword|Single purpose|TERESAH
Annie|application-category|4_Analysis|TERESAH
AnnotateIt|description|AnnotateIt lets users annotate anything anywhere on the web.|BambooDirt
AnnotateIt|application-category|Annotating|TERESAH
AnnotateIt|url|http://annotateit.org/|TERESAH
AnnotateIt|creator|Open Knowledge Foundation|TERESAH
AnnotateIt|operating-system|Web|TERESAH
Annotation Graph Toolkit (AGTK)|description|Annotation Graphs are a formal framework for representing linguistic annotations of time series data. (Note: last updated 2007)|BambooDirt
Annotation Graph Toolkit (AGTK)|license|CPL|TERESAH
Annotation Graph Toolkit (AGTK)|url|http://agtk.sourceforge.net/|TERESAH
Annotation Graph Toolkit (AGTK)|keyword|library|TERESAH
Annotation Graph Toolkit (AGTK)|application-category|4_Analysis|TERESAH
Annotator�s Workbench|creator|Ethnographic Video for Instruction & Analysis (EVIA) Digital Archive Project|TERESAH
Annotator�s Workbench|description|The Annotator�s Workbench is a software tool that enables users to create a collection from a set of existing video files, segment that collection, create annotations and assign vocabulary terms to the segments, and control access. This tool is part of the Ethnographic Video for Institution and Analysis (EVIA) Digital Archive Project at Indiana University and the University of Michigan.|BambooDirt
Annotator�s Workbench|application-category|Annotating|TERESAH
Annotator�s Workbench|url|http://www.eviada.org/element.cfm?mc=6&ctID=31&eID=1|TERESAH
Annotator�s Workbench|operating-system|Linux|TERESAH
Annotator�s Workbench|keyword|video|TERESAH
Annotorious|description|A Web-based image annotation tool, built specifically for integration with existing Web pages or portal environments. Annotorious is also available as a plugin to the Annotator Web annotation system by the Open Knowledge Foundation.|BambooDirt
Annotorious|creator|AIT Austrian Institute of Technology|TERESAH
Annotorious|application-category|Annotating|TERESAH
Annotorious|keyword|Beta|TERESAH
Annotorious|license|GNU LGPL|TERESAH
Annotorious|url|http://annotorious.github.io/|TERESAH
Annotorious|keyword|Image Annotation|TERESAH
Annotorious|operating-system|Web|TERESAH
Annotum|description|Annotum is an open-source, open-process, open-access scholarly authoring and publishing platform based on WordPress.|BambooDirt
Annotum|url|http://annotum.org/|TERESAH
Annotum|application-category|Publishing|TERESAH
Annotum|creator|Solvitor LLC|TERESAH
Annotum|operating-system|Web|TERESAH
Annotum|keyword|WordPress|TERESAH
Annozilla (Annotea on Mozilla)|application-category|Annotating|TERESAH
Annozilla (Annotea on Mozilla)|keyword|annotation|TERESAH
Annozilla (Annotea on Mozilla)|description|Annozilla allows you to view and create annotations associated with a web page. To use Annozilla you need to install the packages and get set up with an account with the W3C test server.|BambooDirt
Annozilla (Annotea on Mozilla)|keyword|Firefox 3.0, Firefox 3.5|TERESAH
Annozilla (Annotea on Mozilla)|url|http://annozilla.mozdev.org/|TERESAH
Annozilla (Annotea on Mozilla)|creator|W3C Annotea project|TERESAH
AnSWR|description|AnSWR supports qualitative analysis of word-based data. This entails a set of methods for organizing, displaying, processing, summarizing, and interpreting information.|BambooDirt
